运输架次编号,通信阶段,开始时刻（s）,结束时刻（s）,保障方式,中继架次编号
Q3-T-001,下降,2069.7423379431366,2070.15255401159,直连,
Q3-T-001,下降·边界点,2070.15255401159,2070.15255401159,直连,
Q3-T-002,爬升·边界点,360.0,360.0,直连,
Q3-T-002,爬升,360.0,360.34184672371094,直连,
Q3-T-002,爬升·边界点,360.34184672371094,360.34184672371094,直连,
Q3-T-002,爬升,360.34184672371094,369.60265609712184,直连,
Q3-T-002,爬升·边界点,369.60265609712184,369.60265609712184,直连,
Q3-T-002,爬升,369.60265609712184,370.5743917449054,直连,
Q3-T-002,爬升·边界点,370.5743917449054,370.5743917449054,直连,
Q3-T-002,爬升,370.5743917449054,378.6860501935803,直连,
Q3-T-002,爬升·边界点,378.6860501935803,378.6860501935803,直连,
Q3-T-002,爬升,378.6860501935803,387.99820232145794,直连,
Q3-T-002,爬升·边界点,387.99820232145794,387.99820232145794,直连,
Q3-T-002,爬升,387.99820232145794,408.45220336914065,直连,
Q3-T-002,爬升·边界点,408.45220336914065,408.45220336914065,直连,
Q3-T-002,巡航,408.45220336914065,442.62231115873317,直连,
Q3-T-002,巡航·边界点,442.62231115873317,442.62231115873317,直连,
Q3-T-002,巡航,442.62231115873317,542.4228357746762,直连,
Q3-T-002,巡航·边界点,542.4228357746762,542.4228357746762,直连,
Q3-T-002,巡航,542.4228357746762,595.2985493120008,直连,
Q3-T-002,巡航·边界点,595.2985493120008,595.2985493120008,直连,
Q3-T-002,巡航,595.2985493120008,607.6266838664694,直连,
Q3-T-002,巡航·边界点,607.6266838664694,607.6266838664694,直连,
Q3-T-002,巡航,607.6266838664694,639.1032424286232,直连,
Q3-T-002,巡航·边界点,639.1032424286232,639.1032424286232,直连,
Q3-T-002,巡航,639.1032424286232,662.9504403290156,直连,
Q3-T-002,巡航·边界点,662.9504403290156,662.9504403290156,直连,
Q3-T-002,下降,662.9504403290156,688.4143651774021,直连,
Q3-T-002,下降·边界点,688.4143651774021,688.4143651774021,直连,
Q3-T-002,下降,688.4143651774021,694.3842982433409,直连,
Q3-T-002,下降·边界点,694.3842982433409,694.3842982433409,直连,
Q3-T-002,下降,694.3842982433409,697.0820771027705,直连,
Q3-T-002,下降·边界点,697.0820771027705,697.0820771027705,直连,
Q3-T-002,下降,697.0820771027705,698.5730843719844,直连,
Q3-T-002,下降·边界点,698.5730843719844,698.5730843719844,直连,
Q3-T-002,投送交接,698.5730843719844,908.5730843719844,直连,
Q3-T-002,投送交接·边界点,908.5730843719844,908.5730843719844,直连,
Q3-T-002,爬升,908.5730843719844,909.8155904296625,直连,
Q3-T-002,爬升·边界点,909.8155904296625,909.8155904296625,直连,
Q3-T-002,爬升,909.8155904296625,912.0637394791872,直连,
Q3-T-002,爬升·边界点,912.0637394791872,912.0637394791872,直连,
Q3-T-002,爬升,912.0637394791872,917.0386837008028,直连,
Q3-T-002,爬升·边界点,917.0386837008028,917.0386837008028,直连,
Q3-T-002,爬升,917.0386837008028,938.2586210744583,直连,
Q3-T-002,爬升·边界点,938.2586210744583,938.2586210744583,直连,
Q3-T-002,巡航,938.2586210744583,993.5823775370045,直连,
Q3-T-002,巡航·边界点,993.5823775370045,993.5823775370045,直连,
Q3-T-002,巡航,993.5823775370045,1005.910512091473,直连,
Q3-T-002,巡航·边界点,1005.910512091473,1005.910512091473,直连,
Q3-T-002,巡航,1005.910512091473,1058.7862256287979,直连,
Q3-T-002,巡航·边界点,1058.7862256287979,1058.7862256287979,直连,
Q3-T-002,巡航,1058.7862256287979,1192.7568580343334,直连,
Q3-T-002,巡航·边界点,1192.7568580343334,1192.7568580343334,直连,
Q3-T-002,下降,1192.7568580343334,1217.3016592915526,直连,
